tr1.0;1.3.;18 км 200 м, Приморское шоссе, ст. Лахта;А;Из СПб;http://elvispiter.ru/images/SPELBB0103A1.jpg
tr2.0;1.5.;19 км 200 м, Приморское шоссе, пл. Ольгино,;А;Из СПб;http://elvispiter.ru/images/SPELBB0105A1.jpg
tr3.0;1.7.;22 км 980 м, Приморское шоссе;А;Из СПб;http://elvispiter.ru/images/SPELBB0107A1.jpg
tr4.0;1.8.;23 км 700 м, Приморское шоссе;А;Из СПб;http://elvispiter.ru/images/SPELBB0108A1.jpg
tr5.0;1.9.;23 км 850 м, Приморское шоссе;А;Из СПб;http://elvispiter.ru/images/SPELBB0109A1.jpg
tr6.0;1.10.;24 км 400 м, Приморское шоссе;А;Из СПб;http://elvispiter.ru/images/SPELBB0110A.jpg
tr7.0;1.11.;24 км 800 м, Приморское шоссе;А;Из СПб;http://elvispiter.ru/images/SPELBB0111A.jpg
tr8.0;1.12.;25 км 100 м, Приморское шоссе, ст. Лисий нос, перед виадуком;А;Из СПб;http://elvispiter.ru/images/SPELBB0112A.jpg
tr9.0;1.22.;СУПЕРСАЙТ, 26 км, Приморское шоссе, п. Лисий Нос;А;Из СПб;http://elvispiter.ru/images/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%20-%20%D0%BF%20%20%D0%9B%D0%B8%D1%81%D0%B8%D0%B9%20%D0%BD%D0%BE%D1%81%20%D1%81%D1%8A%D0%B5%D0%B7%D0%B4%20%D1%81%20%D0%B2%D0%B8%D0%B0%D0%B4%D1%83%D0%BA%D0%B0%20%D0%B8%D0%B7%20%D0%A1%D0%9F%D0%B1%20%282%29.JPG
tr9.1;1.22.;СУПЕРСАЙТ, 26 км, Приморское шоссе, п. Лисий Нос;Б;В СПб;http://elvispiter.ru/images/%D0%9F%D1%80%D0%B8%D0%BC%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B5%20%D1%88%D0%BE%D1%81%D1%81%D0%B5%20-%20%D0%BF%20%20%D0%9B%D0%B8%D1%81%D0%B8%D0%B9%20%D0%BD%D0%BE%D1%81%20%D1%81%D1%8A%D0%B5%D0%B7%D0%B4%20%D1%81%20%D0%B2%D0%B8%D0%B0%D0%B4%D1%83%D0%BA%D0%B0%20%D0%B2%20%D0%A1%D0%9F%D0%B1%20%282%29.JPG
tr10.0;1.13.;29 км 150 м, Приморское шоссе, пл. Горская, перед КАД;А;Из СПб;http://elvispiter.ru/images/SPELBB0113A.jpg
tr10.1;1.13.;29 км 150 м, Приморское шоссе, пл. Горская, перед КАД;Б;В СПб;http://elvispiter.ru/images/SPELBB0113B.jpg
tr11.0;1.14.;29 км 300 м, Приморское шоссе, пл. Горская, перед КАД;А;Из СПб;http://elvispiter.ru/images/SPELBB0114A.jpg
tr11.1;1.14.;29 км 300 м, Приморское шоссе, пл. Горская, перед КАД;Б;В СПб;http://elvispiter.ru/images/SPELBB0114B.jpg
tr12.0;1.15.;31 км, Приморское шоссе, пл. Горская, после КАД;А;Из СПб;http://elvispiter.ru/images/SPELBB0115A.jpg
tr12.1;1.15.;31 км, Приморское шоссе, пл. Горская, после КАД;Б;В СПб;http://elvispiter.ru/images/SPELBB0115B.jpg
tr13.0;1.17.;Зеленогорское шоссе, ст. Репино;А;Из СПб;http://elvispiter.ru/images/1.17_a.jpg
tr13.1;1.17.;Зеленогорское шоссе, ст. Репино;Б;В СПб;http://elvispiter.ru/images/1.17_b.jpg
tr14.0;1.18.;Зеленогорское шоссе,  ж/д переезд у ст. Репино, поворот на Ленинское;А;Из СПб;http://elvispiter.ru/images/1.18_a.jpg
tr14.1;1.18.;Зеленогорское шоссе,  ж/д переезд у ст. Репино, поворот на Ленинское;Б;В СПб;http://elvispiter.ru/images/1.18_b.jpg
tr15.0;1.20.;г. Зеленогорск, привокзальная пл., рынок, кольцо автобусов и маршрутного такси;А;;http://elvispiter.ru/images/1.20_a.jpg
tr15.1;1.20.;г. Зеленогорск, привокзальная пл., рынок, кольцо автобусов и маршрутного такси;Б;;http://elvispiter.ru/images/1.20_b.jpg
tr295.0;2.52;65 км 00м, Трасса СКАНДИНАВИЯ;А;Из СПб;http://elvispiter.ru/images/65%20%D0%BA%D0%BC%2000%D0%BC%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B8%D0%B7%20%20%D0%A1%D0%9F%D0%B1.JPG
tr295.1;2.52;65 км 00м, Трасса СКАНДИНАВИЯ;Б;В СПб;http://elvispiter.ru/images/65%20%D0%BA%D0%BC%2000%D0%BC%20%D0%A2%D1%80%D0%B0%D1%81%D1%81%D0%B0%20%D0%A1%D0%9A%D0%90%D0%9D%D0%94%D0%98%D0%9D%D0%90%D0%92%D0%98%D0%AF%2C%20%D0%B2%20%20%D0%A1%D0%9F%D0%B1.jpg
